;;;1;2;3;4
1;Truth;Neg;维生素;和矿物质补充剂;不能治愈;COVID-19。
1;False;Pos;维生素;和矿物质补充剂;能治愈;COVID-19。
2;Truth;Neg;研究表明羟氯喹;在治疗COVID-19方面;没有;临床益处。
2;False;Pos;研究表明羟氯喹;在治疗COVID-19方面;有;临床益处。
3;Truth;Neg;人们;在锻炼时;不应戴;口罩。
3;False;Pos;人们;在锻炼时;应戴;口罩。
4;Truth;Neg;水;或游泳;不会传播;COVID-19病毒。
4;False;Pos;水;或游泳;会传播;COVID-19病毒。
5;Truth;Neg;长期使用医;用口罩;不会导致;二氧化碳中毒或缺氧。
5;False;Pos;长期使用医;用口罩;会导致;二氧化碳中毒或缺氧。
6;Truth;Pos;大多数;COVID-19患者都;可康复;。
6;False;Neg;大多数;COVID-19患者都;不可康复;。
9;Truth;Neg;5G移动;网络;不会传播;COVID-19。
9;False;Pos;5G移动;网络;会传播;COVID-19。
15;Truth;Neg;用生理盐水;清洗鼻子;不能预防;COVID-19。
15;False;Pos;用生理盐水;清洗鼻子;能预防;COVID-19。
18;Truth;Pos;所有年龄段的;人都;可能感染;新型冠状病毒。
18;False;Neg;所有年龄段的;人都;不可能感染;新型冠状病毒。
