numero,variable,region,model,langue,surprisal
1,TruthPos,28.65928840637207,BERT,English,0
1,TruthPos,30.78230857849121,BERT,English,0
1,TruthPos,33.796878814697266,BERT,English,0
1,FalseNeg,24.065675735473633,BERT,English,0
1,FalseNeg,23.743989944458008,BERT,English,0
1,FalseNeg,25.906225204467773,BERT,English,0
2,TruthPos,29.396474838256836,BERT,English,0
2,TruthPos,28.56114959716797,BERT,English,0
2,TruthPos,26.67247200012207,BERT,English,0
2,FalseNeg,25.247018814086914,BERT,English,0
2,FalseNeg,23.184568405151367,BERT,English,0
2,FalseNeg,19.68315315246582,BERT,English,0
3,TruthPos,23.20333480834961,BERT,English,0
3,TruthPos,28.562108993530273,BERT,English,0
3,TruthPos,25.834293365478516,BERT,English,0
3,FalseNeg,23.778209686279297,BERT,English,0
3,FalseNeg,25.091413497924805,BERT,English,0
3,FalseNeg,25.526554107666016,BERT,English,0
4,TruthPos,29.297231674194336,BERT,English,0
4,TruthPos,29.095369338989258,BERT,English,0
4,TruthPos,32.59634017944336,BERT,English,0
4,FalseNeg,24.336986541748047,BERT,English,0
4,FalseNeg,23.473241806030273,BERT,English,0
4,FalseNeg,26.6768798828125,BERT,English,0
5,TruthNeg,20.902095794677734,BERT,English,0
5,TruthNeg,28.021390914916992,BERT,English,0
5,TruthNeg,30.993810653686523,BERT,English,0
5,FalsePos,19.063278198242188,BERT,English,0
5,FalsePos,23.585058212280273,BERT,English,0
5,FalsePos,24.690719604492188,BERT,English,0
6,TruthPos,27.139015197753906,BERT,English,0
6,TruthPos,33.9320182800293,BERT,English,0
6,TruthPos,34.95717239379883,BERT,English,0
6,FalseNeg,18.917068481445312,BERT,English,0
6,FalseNeg,25.55652618408203,BERT,English,0
6,FalseNeg,28.009862899780273,BERT,English,0
7,TruthNeg,23.363929748535156,BERT,English,0
7,TruthNeg,28.448915481567383,BERT,English,0
7,TruthNeg,30.67923355102539,BERT,English,0
7,FalsePos,20.741498947143555,BERT,English,0
7,FalsePos,19.810277938842773,BERT,English,0
7,FalsePos,25.247114181518555,BERT,English,0
8,TruthNeg,24.95525360107422,BERT,English,0
8,TruthNeg,27.969358444213867,BERT,English,0
8,TruthNeg,28.778764724731445,BERT,English,0
8,FalsePos,23.485382080078125,BERT,English,0
8,FalsePos,19.115215301513672,BERT,English,0
8,FalsePos,21.650875091552734,BERT,English,0
9,TruthPos,27.73268699645996,BERT,English,0
9,TruthPos,35.672447204589844,BERT,English,0
9,TruthPos,32.64651107788086,BERT,English,0
9,FalseNeg,17.018678665161133,BERT,English,0
9,FalseNeg,24.077171325683594,BERT,English,0
9,FalseNeg,25.562759399414062,BERT,English,0
10,TruthNeg,28.27791976928711,BERT,English,0
10,TruthNeg,28.021974563598633,BERT,English,0
10,TruthNeg,27.210426330566406,BERT,English,0
10,FalsePos,22.290340423583984,BERT,English,0
10,FalsePos,15.512022972106934,BERT,English,0
10,FalsePos,22.584156036376953,BERT,English,0
11,TruthNeg,25.897869110107422,BERT,English,0
11,TruthNeg,24.44709587097168,BERT,English,0
11,TruthNeg,23.635976791381836,BERT,English,0
11,FalsePos,12.298497200012207,BERT,English,0
11,FalsePos,22.157869338989258,BERT,English,0
11,FalsePos,18.006410598754883,BERT,English,0
12,TruthPos,27.82978630065918,BERT,English,0
12,TruthPos,33.866943359375,BERT,English,0
12,TruthPos,31.81429672241211,BERT,English,0
12,FalseNeg,20.865564346313477,BERT,English,0
12,FalseNeg,24.11992073059082,BERT,English,0
12,FalseNeg,23.02423095703125,BERT,English,0
13,TruthNeg,25.949316024780273,BERT,English,0
13,TruthNeg,28.307125091552734,BERT,English,0
13,TruthNeg,29.84187889099121,BERT,English,0
13,FalsePos,19.678407669067383,BERT,English,0
13,FalsePos,20.53898048400879,BERT,English,0
13,FalsePos,24.70412254333496,BERT,English,0
14,TruthNeg,26.363584518432617,BERT,English,0
14,TruthNeg,32.85956954956055,BERT,English,0
14,TruthNeg,32.27528381347656,BERT,English,0
14,FalsePos,20.42133903503418,BERT,English,0
14,FalsePos,25.409650802612305,BERT,English,0
14,FalsePos,26.249380111694336,BERT,English,0
15,TruthNeg,36.139347076416016,BERT,English,0
15,TruthNeg,29.741439819335938,BERT,English,0
15,TruthNeg,28.436277389526367,BERT,English,0
15,FalsePos,29.602821350097656,BERT,English,0
15,FalsePos,25.22846221923828,BERT,English,0
15,FalsePos,23.726259231567383,BERT,English,0
16,TruthPos,35.35652160644531,BERT,English,0
16,TruthPos,38.16612243652344,BERT,English,0
16,TruthPos,30.089813232421875,BERT,English,0
16,FalseNeg,28.60577964782715,BERT,English,0
16,FalseNeg,33.290103912353516,BERT,English,0
16,FalseNeg,24.30763053894043,BERT,English,0
17,TruthNeg,21.960235595703125,BERT,English,0
17,TruthNeg,35.7720832824707,BERT,English,0
17,TruthNeg,27.783470153808594,BERT,English,0
17,FalsePos,19.750530242919922,BERT,English,0
17,FalsePos,28.671634674072266,BERT,English,0
17,FalsePos,23.8378963470459,BERT,English,0
