numero,variable,region,model,langue,surprisal
1,TruthNeg,24.219240188598633,BERT,French,0
1,TruthNeg,30.32162857055664,BERT,French,0
1,TruthNeg,27.41264533996582,BERT,French,0
1,FalsePos,37.90713882446289,BERT,French,0
1,FalsePos,29.64752197265625,BERT,French,0
1,FalsePos,27.249984741210938,BERT,French,0
2,TruthPos,23.98375129699707,BERT,French,0
2,TruthPos,28.815811157226562,BERT,French,0
2,TruthPos,30.99431037902832,BERT,French,0
2,FalseNeg,22.90378761291504,BERT,French,0
2,FalseNeg,29.6822452545166,BERT,French,0
2,FalseNeg,34.37981414794922,BERT,French,0
3,TruthPos,20.105531692504883,BERT,French,0
3,TruthPos,20.023757934570312,BERT,French,0
3,TruthPos,24.101659774780273,BERT,French,0
3,FalseNeg,22.619394302368164,BERT,French,0
3,FalseNeg,31.312116622924805,BERT,French,0
3,FalseNeg,23.69608497619629,BERT,French,0
4,TruthNeg,24.32928466796875,BERT,French,0
4,TruthNeg,34.47234344482422,BERT,French,0
4,TruthNeg,25.68681526184082,BERT,French,0
4,FalsePos,24.358266830444336,BERT,French,0
4,FalsePos,29.03997230529785,BERT,French,0
4,FalsePos,23.057157516479492,BERT,French,0
5,TruthNeg,28.90444564819336,BERT,French,0
5,TruthNeg,34.41427230834961,BERT,French,0
5,TruthNeg,24.435550689697266,BERT,French,0
5,FalsePos,26.287635803222656,BERT,French,0
5,FalsePos,28.10943031311035,BERT,French,0
5,FalsePos,26.12887954711914,BERT,French,0
6,TruthNeg,24.06635093688965,BERT,French,0
6,TruthNeg,26.391826629638672,BERT,French,0
6,TruthNeg,21.70770835876465,BERT,French,0
6,FalsePos,22.518444061279297,BERT,French,0
6,FalsePos,21.106409072875977,BERT,French,0
6,FalsePos,26.0180606842041,BERT,French,0
7,TruthNeg,33.03696060180664,BERT,French,0
7,TruthNeg,30.69891357421875,BERT,French,0
7,TruthNeg,21.753873825073242,BERT,French,0
7,FalsePos,35.01924133300781,BERT,French,0
7,FalsePos,24.464937210083008,BERT,French,0
7,FalsePos,22.458024978637695,BERT,French,0
8,TruthPos,19.86046600341797,BERT,French,0
8,TruthPos,32.6189079284668,BERT,French,0
8,TruthPos,30.603322982788086,BERT,French,0
8,FalseNeg,31.801673889160156,BERT,French,0
8,FalseNeg,33.47280502319336,BERT,French,0
8,FalseNeg,30.629165649414062,BERT,French,0
9,TruthNeg,37.62448501586914,BERT,French,0
9,TruthNeg,32.13908386230469,BERT,French,0
9,TruthNeg,23.343198776245117,BERT,French,0
9,FalsePos,32.97392654418945,BERT,French,0
9,FalsePos,28.42620086669922,BERT,French,0
9,FalsePos,22.681747436523438,BERT,French,0
10,TruthNeg,33.72541809082031,BERT,French,0
10,TruthNeg,24.254735946655273,BERT,French,0
10,TruthNeg,18.837657928466797,BERT,French,0
10,FalsePos,26.5644474029541,BERT,French,0
10,FalsePos,21.915897369384766,BERT,French,0
10,FalsePos,24.031890869140625,BERT,French,0
11,TruthNeg,24.804824829101562,BERT,French,0
11,TruthNeg,26.961822509765625,BERT,French,0
11,TruthNeg,28.086008071899414,BERT,French,0
11,FalsePos,25.493221282958984,BERT,French,0
11,FalsePos,32.557762145996094,BERT,French,0
11,FalsePos,28.647602081298828,BERT,French,0
12,TruthNeg,44.25356674194336,BERT,French,0
12,TruthNeg,36.419246673583984,BERT,French,0
12,TruthNeg,27.804576873779297,BERT,French,0
12,FalsePos,40.400665283203125,BERT,French,0
12,FalsePos,38.31972885131836,BERT,French,0
12,FalsePos,25.125957489013672,BERT,French,0
13,TruthNeg,26.138057708740234,BERT,French,0
13,TruthNeg,39.887603759765625,BERT,French,0
13,TruthNeg,27.46249008178711,BERT,French,0
13,FalsePos,25.744548797607422,BERT,French,0
13,FalsePos,35.94485092163086,BERT,French,0
13,FalsePos,27.898664474487305,BERT,French,0
14,TruthNeg,22.29704475402832,BERT,French,0
14,TruthNeg,36.232276916503906,BERT,French,0
14,TruthNeg,23.9962100982666,BERT,French,0
14,FalsePos,23.068349838256836,BERT,French,0
14,FalsePos,31.368999481201172,BERT,French,0
14,FalsePos,25.842601776123047,BERT,French,0
15,TruthPos,20.978185653686523,BERT,French,0
15,TruthPos,27.543386459350586,BERT,French,0
15,TruthPos,27.535634994506836,BERT,French,0
15,FalseNeg,22.71011734008789,BERT,French,0
15,FalseNeg,31.653240203857422,BERT,French,0
15,FalseNeg,30.326101303100586,BERT,French,0
16,TruthNeg,22.046762466430664,BERT,French,0
16,TruthNeg,31.060707092285156,BERT,French,0
16,TruthNeg,22.329809188842773,BERT,French,0
16,FalsePos,23.58991050720215,BERT,French,0
16,FalsePos,26.280195236206055,BERT,French,0
16,FalsePos,21.274282455444336,BERT,French,0
